Combine_unique,State,Review
rajiv gandhi proudyogiki vishwavidyalaya bhopal ,Madhya Pradesh,I am from rajiv gandhi proudyogiki vishwavidyalaya bhopal 
sambalpur university,Odisha,I am from sambalpur university
dr. a.p.j. abdul kalam university,Madhya Pradesh,I am from dr. a.p.j. abdul kalam university
chhattisgarh swami vivekananda technical university,Chhattisgarh,I am from chhattisgarh swami vivekananda technical university
"dr. a.p.j. abdul kalam technical university, uttar pradesh ",Uttar Pradesh,"I am from dr. a.p.j. abdul kalam technical university, uttar pradesh "
lovely professional university,Punjab,I am from lovely professional university
gondwana university,Maharashtra,I am from gondwana university
g.n.d.u,Punjab,I am from g.n.d.u
visvesvaraya technological university (vtu),Karnataka,I am from visvesvaraya technological university (vtu)
jjntu college of engineering hyderabad,Telangana,I am from jjntu college of engineering hyderabad
icfai university,Telangana,I am from icfai university
sant gaadgebaba amaravati university ,Maharashtra,I am from sant gaadgebaba amaravati university 
mumbai university ,Maharashtra,I am from mumbai university 
mumbai,Maharashtra,I am from mumbai
christ university,Karnataka,I am from christ university
sant gadge baba amravati university,Maharashtra,I am from sant gadge baba amravati university
berhampur university,Odisha,I am from berhampur university
anna university,Tamil Nadu,I am from anna university
iiitd,New Delhi,I am from iiitd
srm university,Chennai,I am from srm university
kerala university,Kerala,I am from kerala university
jawaharlal nehru technology and university hyderabad,Telangana,I am from jawaharlal nehru technology and university hyderabad
indira gandhi national open university,New Delhi,I am from indira gandhi national open university
maulana abul kalam azad university of technology ,West Bengal,I am from maulana abul kalam azad university of technology 
kle technological university hubli,Karnataka,I am from kle technological university hubli
rani channamma university,Karnataka,I am from rani channamma university
solapur university,Maharashtra,I am from solapur university
vit,Tamil Nadu,I am from vit
vit university,Tamil Nadu,I am from vit university
savitribai phule pune unversity,Maharashtra,I am from savitribai phule pune unversity
 maulana abul kalam azad   university of technology ,West Bengal,I am from  maulana abul kalam azad   university of technology 
jawaharlal nehru technological university ananthapuramu,Andhra Pradesh,I am from jawaharlal nehru technological university ananthapuramu
"magadh university,bodh gaya",Bihar,"I am from magadh university,bodh gaya"
kiit university ,Odisha,I am from kiit university 
rajasthan technical university-kota,Rajasthan,I am from rajasthan technical university-kota
‎university of mumbai,Maharashtra,I am from ‎university of mumbai
chattisgarh swami technical university(csvtu),Chhattisgarh,I am from chattisgarh swami technical university(csvtu)
shivaji university ,Maharashtra,I am from shivaji university 
nagpur university,Maharashtra,I am from nagpur university
jawaharlal nehru technological university,Telangana,I am from jawaharlal nehru technological university
siksha 'o' anusandhan university,Odisha,I am from siksha 'o' anusandhan university
sgbau,Maharashtra,I am from sgbau
"rastrasant tukdoji maharaj nagpur university, nagpur",Maharashtra,"I am from rastrasant tukdoji maharaj nagpur university, nagpur"
savitribai phule pune university ,Maharashtra,I am from savitribai phule pune university 
"mgsu, bikaner",Rajasthan,"I am from mgsu, bikaner"
bangalore university,Karnataka,I am from bangalore university
jawaharlala nehru technological university - kakinada,Andhra Pradesh,I am from jawaharlala nehru technological university - kakinada
west bengal university,West Bengal,I am from west bengal university
nmu jalgaon,Maharashtra,I am from nmu jalgaon
aktu,Uttar Pradesh,I am from aktu
maulana abul kalam azad university of technology,West Bengal,I am from maulana abul kalam azad university of technology
kiit university,Odisha,I am from kiit university
alliance university,Karnataka,I am from alliance university
csjm kanpur university,Uttar Pradesh,I am from csjm kanpur university
rajiv ghandhi proudhauki vishvidlya ,Telangana,I am from rajiv ghandhi proudhauki vishvidlya 
guru gobind singh indraprastha university,New Delhi,I am from guru gobind singh indraprastha university
visvesvaraya technological university,Karnataka,I am from visvesvaraya technological university
mumbai ,Maharashtra,I am from mumbai 
rajiv gandhi proudyogiki vishwavidyalaya,Madhya Pradesh,I am from rajiv gandhi proudyogiki vishwavidyalaya
rgpv,Madhya Pradesh,I am from rgpv
gujarat technological university ,Gujarat,I am from gujarat technological university 
swami ramanada tirth maharatwada university nanded,Maharashtra,I am from swami ramanada tirth maharatwada university nanded
autonomous affiliated to vtu,Karnataka,I am from autonomous affiliated to vtu
chandigarh university,Punjab,I am from chandigarh university
"the university of sheffield, uk",England,"I am from the university of sheffield, uk"
biju patnaik university of technology,Odisha,I am from biju patnaik university of technology
dr.harisingh gour vishwavidyalaya,Madhya Pradesh,I am from dr.harisingh gour vishwavidyalaya
dr. harisingh gour vishwavidyalaya sagar (m.p.),Madhya Pradesh,I am from dr. harisingh gour vishwavidyalaya sagar (m.p.)
jhawaharlal nehuru technological university,Telangana,I am from jhawaharlal nehuru technological university
srm institute of science and technology,Tamil Nadu,I am from srm institute of science and technology
jntu kakinada,Andhra Pradesh,I am from jntu kakinada
 osmania university,Telangana,I am from  osmania university
sndt,Maharashtra,I am from sndt
rastrasant tukdoji maharaj nagpur university,Maharashtra,I am from rastrasant tukdoji maharaj nagpur university
acharya nagarjuna university,Andhra Pradesh,I am from acharya nagarjuna university
jawaharlal nehru technological university kakinada,Andhra Pradesh,I am from jawaharlal nehru technological university kakinada
savitribai phule university,Maharashtra,I am from savitribai phule university
jawaharlal nehru technoloical university,Andhra Pradesh,I am from jawaharlal nehru technoloical university
bharti vidyapeeth university,Maharashtra,I am from bharti vidyapeeth university
savitri bai phule pune university,Maharashtra,I am from savitri bai phule pune university
jawaharlal nehru technological university - hyderabad,Telangana,I am from jawaharlal nehru technological university - hyderabad
srtmun,Maharashtra,I am from srtmun
rajiv gandhi technical university,Madhya Pradesh,I am from rajiv gandhi technical university
"jawaharlal nehru technological university, hyderabad",Telangana,"I am from jawaharlal nehru technological university, hyderabad"
bharathidasan,Tamil Nadu,I am from bharathidasan
jntu,Andhra Pradesh,I am from jntu
itm university,Madhya Pradesh,I am from itm university
autonomous institute,Maharashtra,I am from autonomous institute
biju patnaik university of technology ,Odisha,I am from biju patnaik university of technology 
"college of engineering, guindy",Tamil Nadu,"I am from college of engineering, guindy"
c. v. raman global university,Odisha,I am from c. v. raman global university
jntua,Andhra Pradesh,I am from jntua
university of mumbai ,Maharashtra,I am from university of mumbai 
 siksha 'o' anusandhan university (soau),Odisha,I am from  siksha 'o' anusandhan university (soau)
lalit narayan mithila university,Bihar,I am from lalit narayan mithila university
pune university ,Maharashtra,I am from pune university 
manipal university jaipur,Rajasthan,I am from manipal university jaipur
savitrabai phule pune university,Maharashtra,I am from savitrabai phule pune university
jawaharlal nehru technological university hyderabad,Telangana,I am from jawaharlal nehru technological university hyderabad
jawaharlal nehru technical university hyderabad, Telangana,I am from jawaharlal nehru technical university hyderabad
apj abdul kalam technological university,Kerala,I am from apj abdul kalam technological university
jntuk,Andhra Pradesh,I am from jntuk
apj abdul kalam technological university ,Kerala,I am from apj abdul kalam technological university 
visvesvaraya technological university. ,Karnataka,I am from visvesvaraya technological university. 
indian institute of technology,Maharashtra,I am from indian institute of technology
srtm university nanded,Maharashtra,I am from srtm university nanded
cochin university of science and technology,Kerala,I am from cochin university of science and technology
"maulana abul kalam azad university of technology, west bengal",West Bengal,"I am from maulana abul kalam azad university of technology, west bengal"
apj abdul kalam technical university,Uttar Pradesh,I am from apj abdul kalam technical university
batu university,Maharashtra,I am from batu university
mumbai university (no backlogs but last semester exam is still pending due to the pandemic),Maharashtra,I am from mumbai university (no backlogs but last semester exam is still pending due to the pandemic)
"international institute of information technology, bhubaneswar",Odisha,"I am from international institute of information technology, bhubaneswar"
iis university,Rajasthan,I am from iis university
shivaji university kolhapur,Maharashtra,I am from shivaji university kolhapur
west bengal university of technology ,West Bengal,I am from west bengal university of technology 
makaut,West Bengal,I am from makaut
amet university,Chennai,I am from amet university
university of rajasthan,Rajasthan,I am from university of rajasthan
"dr. a.p.j. abdul kalam technical university , lucknow",Uttar Pradesh,"I am from dr. a.p.j. abdul kalam technical university , lucknow"
school of engineering and technology - jain university,Karnataka,I am from school of engineering and technology - jain university
jntu anantapur,Andhra Pradesh,I am from jntu anantapur
pes university ,Karnataka,I am from pes university 
uiet csjm university kanpur nagar,Kanpur,I am from uiet csjm university kanpur nagar
rajasthan technical university kota,Rajasthan,I am from rajasthan technical university kota
"sgbau, amravati university, maharashtra",Maharashtra,"I am from sgbau, amravati university, maharashtra"
vishvesvaraya university belagam,Karnataka,I am from vishvesvaraya university belagam
visvesvaraya technological university belgavi,Karnataka,I am from visvesvaraya technological university belgavi
guru nanak dev university,Punjab,I am from guru nanak dev university
bput,Odisha,I am from bput
techno india university,West Bengal,I am from techno india university
"rajasthan technical university,kota",Rajasthan,"I am from rajasthan technical university,kota"
aryabhatta knowledge university,Bihar,I am from aryabhatta knowledge university
vishvesvaraya technological university belgavi ,Karnataka,I am from vishvesvaraya technological university belgavi 
maulana abul kalam azad university of technology(formerly known as west bengal university of technology),West Bengal,I am from maulana abul kalam azad university of technology(formerly known as west bengal university of technology)
andhra university ,Andhra Pradesh,I am from andhra university 
anna university ,Tamil Nadu,I am from anna university 
goa university,Goa,I am from goa university
lnmu,Bihar,I am from lnmu
maulana abdul kalam azad university of technology ,West Bengal,I am from maulana abdul kalam azad university of technology 
periyar university,Tamil Nadu,I am from periyar university
srm institute of science and technology ,Tamil Nadu,I am from srm institute of science and technology 
osmania university,Telangana,I am from osmania university
burdwan university,West Bengal,I am from burdwan university
visvesvaraya technology university,Karnataka,I am from visvesvaraya technology university
rajiv gandhi prodyogiki vishwavidyalay bhopal,Madhya Pradesh,I am from rajiv gandhi prodyogiki vishwavidyalay bhopal
dr. babasaheb ambedkar marathwada university aurangabad,Maharashtra,I am from dr. babasaheb ambedkar marathwada university aurangabad
dr. apj abdul kalam technical university,Uttar Pradesh,I am from dr. apj abdul kalam technical university
maharaja sayajirao university of baroda,Gujarat,I am from maharaja sayajirao university of baroda
rabindranath tagore university,Madhya Pradesh,I am from rabindranath tagore university
university of delhi,New Delhi,I am from university of delhi
gujarat technological university,Gujarat,I am from gujarat technological university
andhra university college of engineering,Andhra Pradesh,I am from andhra university college of engineering
manipal academy of higher education,Karnataka,I am from manipal academy of higher education
rashtrasant tukadoji maharaj nagpur university,Maharashtra,I am from rashtrasant tukadoji maharaj nagpur university
kavayitri bahinabai chaudhari north maharashtra university jalgaon,Maharashtra,I am from kavayitri bahinabai chaudhari north maharashtra university jalgaon
"dr. a.p.j. abdul kalam technical university, lucknow",Uttar Pradesh,"I am from dr. a.p.j. abdul kalam technical university, lucknow"
chhatrapati shahu ji maharaj university,Uttar Pradesh,I am from chhatrapati shahu ji maharaj university
sastra deemed to be university,Tamil Nadu,I am from sastra deemed to be university
chhattisgarh swami vivekanand technical university,Chhattisgarh,I am from chhattisgarh swami vivekanand technical university
christ (deemed to be university),Karnataka,I am from christ (deemed to be university)
indraprastha institute of information technology delhi,New Delhi,I am from indraprastha institute of information technology delhi
deemed university,Chennai,I am from deemed university
university of kerala,Kerala,I am from university of kerala
indira gandhi national open university (ignou),New Delhi,I am from indira gandhi national open university (ignou)
kle technological university,Karnataka,I am from kle technological university
rani channamma university belagavi,Karnataka,I am from rani channamma university belagavi
punyashlok ahilyadevi holkar solapur university,Maharashtra,I am from punyashlok ahilyadevi holkar solapur university
vellore institute of technology,Tamil Nadu,I am from vellore institute of technology
jawaharlal nehru technological university anantapuramu,Andhra Pradesh,I am from jawaharlal nehru technological university anantapuramu
magadh university,Bihar,I am from magadh university
kalinga institute of industrial technology,Odisha,I am from kalinga institute of industrial technology
siksha 'o' anusandhan (deemed to be university),Odisha,I am from siksha 'o' anusandhan (deemed to be university)
maharaja ganga singh university,Rajasthan,I am from maharaja ganga singh university
"jawaharlal nehru technological university, kakinada",Andhra Pradesh,"I am from jawaharlal nehru technological university, kakinada"
rajiv gandhi university,Telangana,I am from rajiv gandhi university
"swami ramanand teerth marathwada university, nanded",Maharashtra,"I am from swami ramanand teerth marathwada university, nanded"
the university of sheffield,England,I am from the university of sheffield
biju patnaik university of technology rourkela odisha,Odisha,I am from biju patnaik university of technology rourkela odisha
dr. harisingh gour university,Madhya Pradesh,I am from dr. harisingh gour university
sndt women's university,Maharashtra,I am from sndt women's university
bharati vidyapeeth deemed university,Maharashtra,I am from bharati vidyapeeth deemed university
bharathidasan university,Tamil Nadu,I am from bharathidasan university
indian institutes of technology,Maharashtra,I am from indian institutes of technology
dr. babasaheb ambedkar technological university,Maharashtra,I am from dr. babasaheb ambedkar technological university
"iis (deemed to be university), jaipur",Rajasthan,"I am from iis (deemed to be university), jaipur"
academy of maritime education and training,Chennai,I am from academy of maritime education and training
faculty of engineering and technology - (fet ju),Karnataka,I am from faculty of engineering and technology - (fet ju)
pes university,Karnataka,I am from pes university
university institute of engineering and technology (uiet),Kanpur,I am from university institute of engineering and technology (uiet)
the university of burdwan,West Bengal,I am from the university of burdwan
the maharaja sayajirao university of baroda,Gujarat,I am from the maharaja sayajirao university of baroda
